backbone_id	calibrated_priority_score	evidence_tier	uncertainty_tier	model_agreement	knownness_score	source_dominance_risk	annotation_conflict_risk	abstention_reason	allowed_claim_language	recommended_monitoring_tier	official_decision_surface	official_rank
AA411	0.5311662938341252	high	high	0.44695058922979003	0.71840242669363	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	1
AA279	0.43534840991283125	high	high	0.765060883720784	0.8277721604314122	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	2
AA282	0.39135826465813706	high	high	0.9750283021440623	0.5171890798786652	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	3
AC301	0.35277662351433187	high	high	0.6471588173214353	0.6422312099764071	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	4
AA409	0.33238402923714766	high	high	0.7548710245688506	0.6422312099764071	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	5
AA324	0.32308532429896186	high	high	0.4586467223302304	0.6223458038422649	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	6
AA319	0.3192228984854197	high	high	0.4798744217852098	0.6223458038422649	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	7
AD100	0.2649025785294827	high	high	0.33554227713271845	0.5761712167172228	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	8
AA434	0.2592434290756663	high	high	0.3659329780611177	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	9
AA086	0.2199209149531399	moderate	high	0.0	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	10
AA859	0.20545546040768536	moderate	high	0.0	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	11
AA316	0.1954333415191873	moderate	high	0.0	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	12
AC030	0.19383820547799321	high	high	0.693173596450758	0.0	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	13
AA764	0.1912177097815094	moderate	high	0.021843616765554463	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	14
AE264	0.1830450892403944	moderate	high	0.07180157245254493	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	15
AA331	0.16343751940167495	moderate	high	0.1876259011985365	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	16
AC203	0.12011596226407628	low	high	0.26320983947695253	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	17
AC202	0.11803545305780636	low	high	0.2777416341312353	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	18
AA514	0.09821381216134205	low	high	0.4123361658398611	0.0	False	False	low_knownness_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	19
