backbone_id	calibrated_priority_score	evidence_tier	uncertainty_tier	model_agreement	knownness_score	source_dominance_risk	annotation_conflict_risk	abstention_reason	allowed_claim_language	recommended_monitoring_tier	official_decision_surface	official_rank
AE249	0.6503404227027914	high	high	0.877984749094163	0.4823053589484328	False	False		hypothesis_generating_only	low_confidence_backlog	conservative_evidence_consensus	1
AA282	0.5095313562221931	high	high	0.3788569551272891	0.5171890798786652	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	2
AA171	0.496406724998758	high	high	0.4339431071816543	0.4735422986181328	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	3
AA346	0.3653153559826547	high	high	0.8934494163946609	0.6223458038422649	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	4
AA434	0.34258509728110675	high	high	0.44819222531544056	0.4170879676440849	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	5
AB039	0.2773887649843576	low	high	0.9899951962113104	0.5808897876643074	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	6
AC030	0.2750016101421742	high	high	0.8020769869901947	0.4170879676440849	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	7
AA045	0.24486877785649494	moderate	high	0.8163438841309218	0.5761712167172228	False	False		insufficient_evidence	review_not_rank	conservative_evidence_consensus	8
AF809	0.2230478109359343	moderate	high	0.0	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	9
AA297	0.22253246517441475	moderate	high	0.0	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	10
AA764	0.1956514426073039	moderate	high	0.0	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	11
AA331	0.1802824077395426	moderate	high	0.08845635756546022	0.2613751263902932	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	12
AA316	0.17829143976993464	moderate	high	0.10038821451801849	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	13
AA302	0.17585342650010263	moderate	high	0.11492000917230127	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	14
AA349	0.17585342650010263	moderate	high	0.11492000917230127	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	15
AB267	0.17585342650010263	moderate	high	0.11492000917230127	0.4455679137175599	False	False	high_uncertainty_and_model_disagreement	insufficient_evidence	review_not_rank	conservative_evidence_consensus	16
